STT,Kho,Ngày,Số đơn trả,% FD,,,Thời gian,Tổng đơn trả,Trả hàng tổng,Trả hàng SHOPEE Bulky,Trả hàng TTS Bulky,Trả hàng SME,Trả hàng B2B,Trả hàng Ecommerce
149,Kho Giao Hàng Nặng - Đồng Hới - Quảng Bình,2026-04-28 - Thứ 3,3,"2,73%",,,,,,,,,,
150,Kho Giao Hàng Nặng - Thắng Lợi - Kon Tum,2026-04-28 - Thứ 3,1,"2,44%",,,,,,,,,,
151,Kho Giao Hàng Nặng - Tam Kỳ - Quảng Nam,2026-04-28 - Thứ 3,4,"11,11%",,,,,,,,,,
152,Kho Giao Hàng Nặng - Đông Thọ - Thanh Hoá,2026-04-28 - Thứ 3,7,"3,24%",,,,,,,,,,
153,Kho Giao Hàng Nặng - Phan Thiết - Bình Thuận,2026-04-28 - Thứ 3,6,"3,85%",,,,,,,,,,
154,Kho Giao Hàng Nặng - Thạch Linh - Hà Tĩnh,2026-04-28 - Thứ 3,5,"5,62%",,,,,,,,,,
155,Kho Giao Hàng Nặng - Hương Thủy - Huế,2026-04-28 - Thứ 3,6,"6,12%",,,,,,,,,,
156,Kho Giao Hàng Nặng - Tuy Hoà - Phú Yên,2026-04-28 - Thứ 3,4,"3,96%",,,,,,,,,,
157,Kho Giao Hàng Nặng - Hoà Xuân - Đà Nẵng,2026-04-28 - Thứ 3,6,"2,58%",,,,,,,,,,
158,Kho Giao Hàng Nặng - Đông Hà - Quảng Trị,2026-04-28 - Thứ 3,2,"5,41%",,,,,,,,,,
159,Kho Giao Hàng Nặng - Quy Nhơn - Bình Định,2026-04-28 - Thứ 3,7,"3,70%",,,,,,,,,,
160,Kho Giao Hàng Nặng - Pleiku - Gia Lai,2026-04-28 - Thứ 3,5,"7,69%",,,,,,,,,,
161,Kho Giao Hàng Nặng - Vinh - Nghệ An,2026-04-28 - Thứ 3,13,"4,96%",,,,,,,,,,
162,Kho Giao Hàng Nặng - Quảng Ngãi - Quảng Ngãi,2026-04-28 - Thứ 3,1,"1,28%",,,,,,,,,,
163,Kho Giao Hàng Nặng - Hội An - Quảng Nam,2026-04-28 - Thứ 3,6,"3,75%",,,,,,,,,,
164,Kho Giao Hàng Nặng - Tuy Phong - Bình Thuận,2026-04-28 - Thứ 3,5,"7,04%",,,,,,,,,,
165,Kho Giao Hàng Nặng - Buôn Ma Thuột - Đắk Lắk,2026-04-28 - Thứ 3,17,"6,88%",,,,,,,,,,
166,Kho Giao Hàng Nặng - Nha Trang - Khánh Hoà,2026-04-28 - Thứ 3,15,"4,44%",,,,,,,,,,
167,Kho Giao Hàng Nặng - Cam Ranh - Khánh Hoà,2026-04-28 - Thứ 3,4,"5,06%",,,,,,,,,,
168,Kho Giao Hàng Nặng - Buôn Hồ - Đắk Lắk,2026-04-28 - Thứ 3,0,"0,00%",,,,,,,,,,
169,Kho Giao Hàng Nặng - Liên Chiểu - Đà Nẵng,2026-04-28 - Thứ 3,8,"1,55%",,,,,,,,,,
170,Kho Giao Hàng Nặng - Phan Rang - Ninh Thuận,2026-04-28 - Thứ 3,5,"3,68%",,,,,,,,,,
171,Kho Giao Hàng Nặng - La Gi - Bình Thuận,2026-04-28 - Thứ 3,2,"2,82%",,,,,,,,,,
172,Kho Giao Hàng Nặng - Gia Nghĩa - Đắk Nông,2026-04-28 - Thứ 3,4,"8,89%",,,,,,,,,,
173,Kho Giao Hàng Nặng - Hoài Nhơn - Bình Định,2026-04-28 - Thứ 3,1,"3,33%",,,,,,,,,,
174,Kho Giao Hàng Nặng - Gia Nghĩa - Đắk Nông,2026-04-27 - Thứ 2,2,"3,51%",,,,,,,,,,
175,Kho Giao Hàng Nặng - Hoà Xuân - Đà Nẵng,2026-04-27 - Thứ 2,8,"3,27%",,,,,,,,,,
176,Kho Giao Hàng Nặng - Tam Kỳ - Quảng Nam,2026-04-27 - Thứ 2,5,"4,76%",,,,,,,,,,
177,Kho Giao Hàng Nặng - Vinh - Nghệ An,2026-04-27 - Thứ 2,9,"4,15%",,,,,,,,,,
178,Kho Giao Hàng Nặng - Đông Hà - Quảng Trị,2026-04-27 - Thứ 2,3,"5,00%",,,,,,,,,,
179,Kho Giao Hàng Nặng - Buôn Hồ - Đắk Lắk,2026-04-27 - Thứ 2,7,"8,86%",,,,,,,,,,
180,Kho Giao Hàng Nặng - Cam Ranh - Khánh Hoà,2026-04-27 - Thứ 2,3,"3,30%",,,,,,,,,,
181,Kho Giao Hàng Nặng - Hương Thủy - Huế,2026-04-27 - Thứ 2,6,"2,15%",,,,,,,,,,
182,Kho Giao Hàng Nặng - Pleiku - Gia Lai,2026-04-27 - Thứ 2,8,"3,86%",,,,,,,,,,
183,Kho Giao Hàng Nặng - Nha Trang - Khánh Hoà,2026-04-27 - Thứ 2,16,"3,66%",,,,,,,,,,
184,Kho Giao Hàng Nặng - Phan Rang - Ninh Thuận,2026-04-27 - Thứ 2,5,"4,07%",,,,,,,,,,
185,Kho Giao Hàng Nặng - Thắng Lợi - Kon Tum,2026-04-27 - Thứ 2,2,"2,06%",,,,,,,,,,
186,Kho Giao Hàng Nặng - Tuy Hoà - Phú Yên,2026-04-27 - Thứ 2,2,"1,68%",,,,,,,,,,
187,Kho Giao Hàng Nặng - Hoài Nhơn - Bình Định,2026-04-27 - Thứ 2,2,"2,17%",,,,,,,,,,
188,Kho Giao Hàng Nặng - Hội An - Quảng Nam,2026-04-27 - Thứ 2,10,"6,94%",,,,,,,,,,
189,Kho Giao Hàng Nặng - Phan Thiết - Bình Thuận,2026-04-27 - Thứ 2,4,"2,55%",,,,,,,,,,
190,Kho Giao Hàng Nặng - Quy Nhơn - Bình Định,2026-04-27 - Thứ 2,6,"2,17%",,,,,,,,,,
191,Kho Giao Hàng Nặng - Đông Thọ - Thanh Hoá,2026-04-27 - Thứ 2,4,"2,13%",,,,,,,,,,
192,Kho Giao Hàng Nặng - Đồng Hới - Quảng Bình,2026-04-27 - Thứ 2,1,"1,20%",,,,,,,,,,
193,Kho Giao Hàng Nặng - Buôn Ma Thuột - Đắk Lắk,2026-04-27 - Thứ 2,12,"3,88%",,,,,,,,,,
194,Kho Giao Hàng Nặng - Liên Chiểu - Đà Nẵng,2026-04-27 - Thứ 2,10,"3,75%",,,,,,,,,,
195,Kho Giao Hàng Nặng - Quảng Ngãi - Quảng Ngãi,2026-04-27 - Thứ 2,4,"2,41%",,,,,,,,,,
196,Kho Giao Hàng Nặng - Thạch Linh - Hà Tĩnh,2026-04-27 - Thứ 2,2,"2,78%",,,,,,,,,,
197,Kho Giao Hàng Nặng - La Gi - Bình Thuận,2026-04-27 - Thứ 2,2,"2,44%",,,,,,,,,,
198,Kho Giao Hàng Nặng - Tuy Phong - Bình Thuận,2026-04-27 - Thứ 2,4,"3,85%",,,,,,,,,,
199,Kho Giao Hàng Nặng - Hoà Xuân - Đà Nẵng,2026-04-26 - CN,10,"4,85%",,,,,,,,,,
200,Kho Giao Hàng Nặng - Hương Thủy - Huế,2026-04-26 - CN,2,"1,34%",,,,,,,,,,
201,Kho Giao Hàng Nặng - Hội An - Quảng Nam,2026-04-26 - CN,6,"4,23%",,,,,,,,,,
202,Kho Giao Hàng Nặng - Nha Trang - Khánh Hoà,2026-04-26 - CN,19,"6,29%",,,,,,,,,,
203,Kho Giao Hàng Nặng - Tuy Hoà - Phú Yên,2026-04-26 - CN,6,"7,89%",,,,,,,,,,
204,Kho Giao Hàng Nặng - Quảng Ngãi - Quảng Ngãi,2026-04-26 - CN,4,"3,51%",,,,,,,,,,
205,Kho Giao Hàng Nặng - Phan Rang - Ninh Thuận,2026-04-26 - CN,5,"4,63%",,,,,,,,,,
206,Kho Giao Hàng Nặng - Pleiku - Gia Lai,2026-04-26 - CN,10,"6,71%",,,,,,,,,,
207,Kho Giao Hàng Nặng - Hoài Nhơn - Bình Định,2026-04-26 - CN,0,"0,00%",,,,,,,,,,
208,Kho Giao Hàng Nặng - Đông Hà - Quảng Trị,2026-04-26 - CN,3,"7,32%",,,,,,,,,,
209,Kho Giao Hàng Nặng - Buôn Hồ - Đắk Lắk,2026-04-26 - CN,1,"2,22%",,,,,,,,,,
210,Kho Giao Hàng Nặng - Buôn Ma Thuột - Đắk Lắk,2026-04-26 - CN,8,"3,24%",,,,,,,,,,
211,Kho Giao Hàng Nặng - Cam Ranh - Khánh Hoà,2026-04-26 - CN,0,"0,00%",,,,,,,,,,
212,Kho Giao Hàng Nặng - La Gi - Bình Thuận,2026-04-26 - CN,3,"3,85%",,,,,,,,,,
213,Kho Giao Hàng Nặng - Liên Chiểu - Đà Nẵng,2026-04-26 - CN,11,"3,05%",,,,,,,,,,
214,Kho Giao Hàng Nặng - Tam Kỳ - Quảng Nam,2026-04-26 - CN,2,"2,60%",,,,,,,,,,
215,Kho Giao Hàng Nặng - Tuy Phong - Bình Thuận,2026-04-26 - CN,1,"2,08%",,,,,,,,,,
216,Kho Giao Hàng Nặng - Vinh - Nghệ An,2026-04-26 - CN,17,"7,49%",,,,,,,,,,
217,Kho Giao Hàng Nặng - Đông Thọ - Thanh Hoá,2026-04-26 - CN,10,"5,18%",,,,,,,,,,
218,Kho Giao Hàng Nặng - Đồng Hới - Quảng Bình,2026-04-26 - CN,2,"4,44%",,,,,,,,,,
219,Kho Giao Hàng Nặng - Phan Thiết - Bình Thuận,2026-04-26 - CN,5,"3,27%",,,,,,,,,,
220,Kho Giao Hàng Nặng - Quy Nhơn - Bình Định,2026-04-26 - CN,7,"2,99%",,,,,,,,,,
221,Kho Giao Hàng Nặng - Thạch Linh - Hà Tĩnh,2026-04-26 - CN,5,"8,77%",,,,,,,,,,
222,Kho Giao Hàng Nặng - Thắng Lợi - Kon Tum,2026-04-26 - CN,3,"2,70%",,,,,,,,,,
223,Kho Giao Hàng Nặng - Gia Nghĩa - Đắk Nông,2026-04-26 - CN,1,"1,92%",,,,,,,,,,
224,Kho Giao Hàng Nặng - Tam Kỳ - Quảng Nam,2026-04-25 - Thứ 7,4,"6,06%",,,,,,,,,,
225,Kho Giao Hàng Nặng - Đồng Hới - Quảng Bình,2026-04-25 - Thứ 7,5,"6,02%",,,,,,,,,,
226,Kho Giao Hàng Nặng - Hội An - Quảng Nam,2026-04-25 - Thứ 7,5,"3,03%",,,,,,,,,,
227,Kho Giao Hàng Nặng - Quy Nhơn - Bình Định,2026-04-25 - Thứ 7,11,"5,21%",,,,,,,,,,
228,Kho Giao Hàng Nặng - Quảng Ngãi - Quảng Ngãi,2026-04-25 - Thứ 7,2,"1,98%",,,,,,,,,,
229,Kho Giao Hàng Nặng - Đông Hà - Quảng Trị,2026-04-25 - Thứ 7,4,"7,02%",,,,,,,,,,
230,Kho Giao Hàng Nặng - Cam Ranh - Khánh Hoà,2026-04-25 - Thứ 7,4,"4,08%",,,,,,,,,,
231,Kho Giao Hàng Nặng - Hoà Xuân - Đà Nẵng,2026-04-25 - Thứ 7,24,"8,70%",,,,,,,,,,
232,Kho Giao Hàng Nặng - La Gi - Bình Thuận,2026-04-25 - Thứ 7,2,"2,25%",,,,,,,,,,
233,Kho Giao Hàng Nặng - Liên Chiểu - Đà Nẵng,2026-04-25 - Thứ 7,5,"1,16%",,,,,,,,,,
234,Kho Giao Hàng Nặng - Pleiku - Gia Lai,2026-04-25 - Thứ 7,8,"4,73%",,,,,,,,,,
235,Kho Giao Hàng Nặng - Thạch Linh - Hà Tĩnh,2026-04-25 - Thứ 7,3,"5,00%",,,,,,,,,,
236,Kho Giao Hàng Nặng - Gia Nghĩa - Đắk Nông,2026-04-25 - Thứ 7,3,"7,89%",,,,,,,,,,
237,Kho Giao Hàng Nặng - Buôn Hồ - Đắk Lắk,2026-04-25 - Thứ 7,11,"16,67%",,,,,,,,,,
238,Kho Giao Hàng Nặng - Buôn Ma Thuột - Đắk Lắk,2026-04-25 - Thứ 7,5,"2,56%",,,,,,,,,,
239,Kho Giao Hàng Nặng - Hoài Nhơn - Bình Định,2026-04-25 - Thứ 7,2,"2,41%",,,,,,,,,,
240,Kho Giao Hàng Nặng - Nha Trang - Khánh Hoà,2026-04-25 - Thứ 7,15,"4,14%",,,,,,,,,,
241,Kho Giao Hàng Nặng - Phan Thiết - Bình Thuận,2026-04-25 - Thứ 7,2,"1,25%",,,,,,,,,,
242,Kho Giao Hàng Nặng - Tuy Phong - Bình Thuận,2026-04-25 - Thứ 7,3,"5,77%",,,,,,,,,,
243,Kho Giao Hàng Nặng - Đông Thọ - Thanh Hoá,2026-04-25 - Thứ 7,6,"3,66%",,,,,,,,,,
244,Kho Giao Hàng Nặng - Hương Thủy - Huế,2026-04-25 - Thứ 7,5,"2,30%",,,,,,,,,,
245,Kho Giao Hàng Nặng - Phan Rang - Ninh Thuận,2026-04-25 - Thứ 7,7,"6,42%",,,,,,,,,,
246,Kho Giao Hàng Nặng - Tuy Hoà - Phú Yên,2026-04-25 - Thứ 7,4,"4,17%",,,,,,,,,,
247,Kho Giao Hàng Nặng - Vinh - Nghệ An,2026-04-25 - Thứ 7,16,"6,75%",,,,,,,,,,
248,Kho Giao Hàng Nặng - Thắng Lợi - Kon Tum,2026-04-25 - Thứ 7,1,"2,08%",,,,,,,,,,
249,Kho Giao Hàng Nặng - Cam Ranh - Khánh Hoà,2026-04-24 - Thứ 6,3,"2,86%",,,,,,,,,,
250,Kho Giao Hàng Nặng - Phan Thiết - Bình Thuận,2026-04-24 - Thứ 6,5,"2,96%",,,,,,,,,,
251,Kho Giao Hàng Nặng - Pleiku - Gia Lai,2026-04-24 - Thứ 6,4,"2,82%",,,,,,,,,,
252,Kho Giao Hàng Nặng - Vinh - Nghệ An,2026-04-24 - Thứ 6,11,"4,40%",,,,,,,,,,
253,Kho Giao Hàng Nặng - Gia Nghĩa - Đắk Nông,2026-04-24 - Thứ 6,4,"5,88%",,,,,,,,,,
254,Kho Giao Hàng Nặng - Hương Thủy - Huế,2026-04-24 - Thứ 6,5,"1,88%",,,,,,,,,,
255,Kho Giao Hàng Nặng - Nha Trang - Khánh Hoà,2026-04-24 - Thứ 6,17,"3,59%",,,,,,,,,,
256,Kho Giao Hàng Nặng - Quảng Ngãi - Quảng Ngãi,2026-04-24 - Thứ 6,3,"1,95%",,,,,,,,,,
257,Kho Giao Hàng Nặng - Buôn Hồ - Đắk Lắk,2026-04-24 - Thứ 6,3,"4,84%",,,,,,,,,,
258,Kho Giao Hàng Nặng - Phan Rang - Ninh Thuận,2026-04-24 - Thứ 6,3,"2,44%",,,,,,,,,,
259,Kho Giao Hàng Nặng - Quy Nhơn - Bình Định,2026-04-24 - Thứ 6,7,"2,87%",,,,,,,,,,
260,Kho Giao Hàng Nặng - Tam Kỳ - Quảng Nam,2026-04-24 - Thứ 6,7,"7,07%",,,,,,,,,,
261,Kho Giao Hàng Nặng - Tuy Phong - Bình Thuận,2026-04-24 - Thứ 6,5,"5,68%",,,,,,,,,,
262,Kho Giao Hàng Nặng - Đông Hà - Quảng Trị,2026-04-24 - Thứ 6,4,"6,90%",,,,,,,,,,
263,Kho Giao Hàng Nặng - Hội An - Quảng Nam,2026-04-24 - Thứ 6,8,"5,03%",,,,,,,,,,
264,Kho Giao Hàng Nặng - La Gi - Bình Thuận,2026-04-24 - Thứ 6,5,"7,58%",,,,,,,,,,
265,Kho Giao Hàng Nặng - Liên Chiểu - Đà Nẵng,2026-04-24 - Thứ 6,13,"2,83%",,,,,,,,,,
266,Kho Giao Hàng Nặng - Thạch Linh - Hà Tĩnh,2026-04-24 - Thứ 6,4,"4,71%",,,,,,,,,,
267,Kho Giao Hàng Nặng - Thắng Lợi - Kon Tum,2026-04-24 - Thứ 6,5,"5,68%",,,,,,,,,,
268,Kho Giao Hàng Nặng - Đồng Hới - Quảng Bình,2026-04-24 - Thứ 6,4,"3,20%",,,,,,,,,,
269,Kho Giao Hàng Nặng - Hoà Xuân - Đà Nẵng,2026-04-24 - Thứ 6,19,"5,90%",,,,,,,,,,
270,Kho Giao Hàng Nặng - Tuy Hoà - Phú Yên,2026-04-24 - Thứ 6,3,"3,09%",,,,,,,,,,
271,Kho Giao Hàng Nặng - Hoài Nhơn - Bình Định,2026-04-24 - Thứ 6,0,"0,00%",,,,,,,,,,
272,Kho Giao Hàng Nặng - Buôn Ma Thuột - Đắk Lắk,2026-04-24 - Thứ 6,10,"3,52%",,,,,,,,,,
273,Kho Giao Hàng Nặng - Đông Thọ - Thanh Hoá,2026-04-24 - Thứ 6,6,"3,31%",,,,,,,,,,
274,Kho Giao Hàng Nặng - Hương Thủy - Huế,2026-04-23 - Thứ 5,5,"1,61%",,,,,,,,,,
275,Kho Giao Hàng Nặng - Phan Thiết - Bình Thuận,2026-04-23 - Thứ 5,8,"4,00%",,,,,,,,,,
276,Kho Giao Hàng Nặng - Đông Hà - Quảng Trị,2026-04-23 - Thứ 5,1,"1,32%",,,,,,,,,,
277,Kho Giao Hàng Nặng - Đông Thọ - Thanh Hoá,2026-04-23 - Thứ 5,10,"5,24%",,,,,,,,,,
278,Kho Giao Hàng Nặng - Buôn Hồ - Đắk Lắk,2026-04-23 - Thứ 5,5,"6,33%",,,,,,,,,,
279,Kho Giao Hàng Nặng - Buôn Ma Thuột - Đắk Lắk,2026-04-23 - Thứ 5,27,"7,22%",,,,,,,,,,
280,Kho Giao Hàng Nặng - Nha Trang - Khánh Hoà,2026-04-23 - Thứ 5,21,"4,66%",,,,,,,,,,
281,Kho Giao Hàng Nặng - Pleiku - Gia Lai,2026-04-23 - Thứ 5,4,"1,79%",,,,,,,,,,
282,Kho Giao Hàng Nặng - Quy Nhơn - Bình Định,2026-04-23 - Thứ 5,4,"1,53%",,,,,,,,,,
283,Kho Giao Hàng Nặng - Hoài Nhơn - Bình Định,2026-04-23 - Thứ 5,0,"0,00%",,,,,,,,,,
284,Kho Giao Hàng Nặng - Hội An - Quảng Nam,2026-04-23 - Thứ 5,8,"4,91%",,,,,,,,,,
285,Kho Giao Hàng Nặng - Liên Chiểu - Đà Nẵng,2026-04-23 - Thứ 5,11,"2,30%",,,,,,,,,,
286,Kho Giao Hàng Nặng - Thạch Linh - Hà Tĩnh,2026-04-23 - Thứ 5,2,"2,38%",,,,,,,,,,
287,Kho Giao Hàng Nặng - Thắng Lợi - Kon Tum,2026-04-23 - Thứ 5,3,"2,68%",,,,,,,,,,
288,Kho Giao Hàng Nặng - Tuy Phong - Bình Thuận,2026-04-23 - Thứ 5,6,"6,67%",,,,,,,,,,
289,Kho Giao Hàng Nặng - Vinh - Nghệ An,2026-04-23 - Thứ 5,22,"8,03%",,,,,,,,,,
290,Kho Giao Hàng Nặng - Cam Ranh - Khánh Hoà,2026-04-23 - Thứ 5,6,"5,31%",,,,,,,,,,
291,Kho Giao Hàng Nặng - Hoà Xuân - Đà Nẵng,2026-04-23 - Thứ 5,13,"3,98%",,,,,,,,,,
292,Kho Giao Hàng Nặng - Phan Rang - Ninh Thuận,2026-04-23 - Thứ 5,11,"7,24%",,,,,,,,,,
293,Kho Giao Hàng Nặng - Quảng Ngãi - Quảng Ngãi,2026-04-23 - Thứ 5,1,"0,88%",,,,,,,,,,
294,Kho Giao Hàng Nặng - Tam Kỳ - Quảng Nam,2026-04-23 - Thứ 5,3,"3,30%",,,,,,,,,,
295,Kho Giao Hàng Nặng - Gia Nghĩa - Đắk Nông,2026-04-23 - Thứ 5,2,"2,99%",,,,,,,,,,
296,Kho Giao Hàng Nặng - La Gi - Bình Thuận,2026-04-23 - Thứ 5,4,"4,12%",,,,,,,,,,
297,Kho Giao Hàng Nặng - Tuy Hoà - Phú Yên,2026-04-23 - Thứ 5,1,"0,83%",,,,,,,,,,
298,Kho Giao Hàng Nặng - Đồng Hới - Quảng Bình,2026-04-23 - Thứ 5,3,"3,06%",,,,,,,,,,
299,Kho Giao Hàng Nặng - Cam Ranh - Khánh Hoà,2026-04-22 - Thứ 4,6,"5,56%",,,,,,,,,,
300,Kho Giao Hàng Nặng - Liên Chiểu - Đà Nẵng,2026-04-22 - Thứ 4,13,"3,21%",,,,,,,,,,
301,Kho Giao Hàng Nặng - Phan Thiết - Bình Thuận,2026-04-22 - Thứ 4,13,"7,51%",,,,,,,,,,
302,Kho Giao Hàng Nặng - Thạch Linh - Hà Tĩnh,2026-04-22 - Thứ 4,6,"7,06%",,,,,,,,,,
303,Kho Giao Hàng Nặng - Đông Hà - Quảng Trị,2026-04-22 - Thứ 4,0,"0,00%",,,,,,,,,,
304,Kho Giao Hàng Nặng - Buôn Ma Thuột - Đắk Lắk,2026-04-22 - Thứ 4,7,"2,79%",,,,,,,,,,
305,Kho Giao Hàng Nặng - Gia Nghĩa - Đắk Nông,2026-04-22 - Thứ 4,4,"6,06%",,,,,,,,,,
306,Kho Giao Hàng Nặng - Thắng Lợi - Kon Tum,2026-04-22 - Thứ 4,3,"3,61%",,,,,,,,,,
307,Kho Giao Hàng Nặng - Đồng Hới - Quảng Bình,2026-04-22 - Thứ 4,4,"4,17%",,,,,,,,,,
308,Kho Giao Hàng Nặng - Buôn Hồ - Đắk Lắk,2026-04-22 - Thứ 4,1,"1,23%",,,,,,,,,,
309,Kho Giao Hàng Nặng - Phan Rang - Ninh Thuận,2026-04-22 - Thứ 4,3,"2,26%",,,,,,,,,,
310,Kho Giao Hàng Nặng - Quy Nhơn - Bình Định,2026-04-22 - Thứ 4,17,"5,12%",,,,,,,,,,
311,Kho Giao Hàng Nặng - Tam Kỳ - Quảng Nam,2026-04-22 - Thứ 4,2,"1,90%",,,,,,,,,,
312,Kho Giao Hàng Nặng - Tuy Phong - Bình Thuận,2026-04-22 - Thứ 4,3,"3,95%",,,,,,,,,,
313,Kho Giao Hàng Nặng - Hoà Xuân - Đà Nẵng,2026-04-22 - Thứ 4,12,"4,90%",,,,,,,,,,
314,Kho Giao Hàng Nặng - Hoài Nhơn - Bình Định,2026-04-22 - Thứ 4,3,"4,29%",,,,,,,,,,
315,Kho Giao Hàng Nặng - Pleiku - Gia Lai,2026-04-22 - Thứ 4,6,"2,86%",,,,,,,,,,
316,Kho Giao Hàng Nặng - Quảng Ngãi - Quảng Ngãi,2026-04-22 - Thứ 4,2,"1,60%",,,,,,,,,,
317,Kho Giao Hàng Nặng - Tuy Hoà - Phú Yên,2026-04-22 - Thứ 4,2,"1,96%",,,,,,,,,,
318,Kho Giao Hàng Nặng - Vinh - Nghệ An,2026-04-22 - Thứ 4,6,"2,52%",,,,,,,,,,
319,Kho Giao Hàng Nặng - Hương Thủy - Huế,2026-04-22 - Thứ 4,13,"3,80%",,,,,,,,,,
320,Kho Giao Hàng Nặng - Hội An - Quảng Nam,2026-04-22 - Thứ 4,6,"3,51%",,,,,,,,,,
321,Kho Giao Hàng Nặng - La Gi - Bình Thuận,2026-04-22 - Thứ 4,2,"1,64%",,,,,,,,,,
322,Kho Giao Hàng Nặng - Nha Trang - Khánh Hoà,2026-04-22 - Thứ 4,14,"3,69%",,,,,,,,,,
323,Kho Giao Hàng Nặng - Đông Thọ - Thanh Hoá,2026-04-22 - Thứ 4,11,"6,04%",,,,,,,,,,
